Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,MG_fluo_1,MG_fluo_2,MG_fluo_3,MG_fluo_4,MG_fluo_5,MG_fluo_6,MG_fluo_median,MG_fluo_std,MG_yield_1,MG_yield_2,MG_yield_3,MG_yield_4,MG_yield_5,MG_yield_6,MG_yield_median,MG_yield_std,MG_fluo_slope_1,MG_fluo_slope_2,MG_fluo_slope_3,MG_fluo_slope_4,MG_fluo_slope_5,MG_fluo_slope_6,MG_fluo_slope_min_1,MG_fluo_slope_min_2,MG_fluo_slope_min_3,MG_fluo_slope_min_4,MG_fluo_slope_min_5,MG_fluo_slope_min_6,MG_fluo_slope_median,MG_fluo_slope_std,MG_fluo_slope_min_median,MG_fluo_slope_min_std,MG_yield_slope_1,MG_yield_slope_2,MG_yield_slope_3,MG_yield_slope_4,MG_yield_slope_5,MG_yield_slope_6,MG_yield_slope_min_1,MG_yield_min_slope_2,MG_yield_slope_min_3,MG_yield_slope_min_4,MG_yield_slope_min_5,MG_yield_slope_min_6,MG_yield_slope_median,MG_yield_slope_std,MG_yield_slope_min_median,MG_yield_slope_min_std,MG_fluo_time_peak_1,MG_fluo_time_peak_2,MG_fluo_time_peak_3,MG_fluo_time_peak_4,MG_fluo_time_peak_5,MG_fluo_time_peak_6,MG_fluo_time_peak_median,MG_fluo_time_peak_std,MG_yield_time_peak_1,MG_yield_time_peak_2,MG_yield_time_peak_3,MG_yield_time_peak_4,MG_yield_time_peak_5,MG_yield_time_peak_6,MG_yield_time_peak_median,MG_yield_time_peak_std,GFP_fluo_1,GFP_fluo_2,GFP_fluo_3,GFP_fluo_4,GFP_fluo_5,GFP_fluo_6,GFP_fluo_median,GFP_fluo_std,GFP_yield_1,GFP_yield_2,GFP_yield_3,GFP_yield_4,GFP_yield_5,GFP_yield_6,GFP_yield_median,GFP_yield_std,GFP_fluo_slope_1,GFP_fluo_slope_2,GFP_fluo_slope_3,GFP_fluo_slope_4,GFP_fluo_slope_5,GFP_fluo_slope_6,GFP_fluo_slope_min_1,GFP_fluo_slope_min_2,GFP_fluo_slope_min_3,GFP_fluo_slope_min_4,GFP_fluo_slope_min_5,GFP_fluo_slope_min_6,GFP_fluo_slope_median,GFP_fluo_slope_std,GFP_fluo_slope_min_median,GFP_fluo_slope_min_std,GFP_yield_slope_1,GFP_yield_slope_2,GFP_yield_slope_3,GFP_yield_slope_4,GFP_yield_slope_5,GFP_yield_slope_6,GFP_yield_slope_min_1,GFP_yield_min_slope_2,GFP_yield_slope_min_3,GFP_yield_slope_min_4,GFP_yield_slope_min_5,GFP_yield_slope_min_6,GFP_yield_slope_median,GFP_yield_slope_std,GFP_yield_slope_min_median,GFP_yield_slope_min_std,name_plate,Buffer,well_1,well_2,well_3,well_4,well_5,well_6
6.03,240.0,2.25,1.005,0.0,1.125,0.99,6.4,42853.0,44841.0,42366.0,,,,42853.0,1311.1660205074463,0.01230793352148,0.1681561618062088,-0.0258701787394167,,,,0.01230793352148,0.0839261973011087,12994.705403169028,6434.8770335216905,8673.024050516404,,,,-6616.348413278019,-7487.738011567413,-7757.492765259253,,,,8673.024050516404,3334.605924312941,-7487.738011567413,596.4195798268433,-0.4456335825636538,-1.3606835100750971,-1.0484777403117842,,,,1.044233893219957,,0.9682800003109042,,,,-1.0484777403117842,0.3797967133207584,0.9862347171160528,0.0324127377778905,55.050003,568.850031,568.850031,,,,568.850031,296.6425844754372,0.8709677419354839,-1.8387096774193543,-1.8387096774193543,,,,-1.8387096774193543,1.2773541853692472,11564.666666666666,31416.0,25677.0,,,,25677.0,10215.751793368108,0.1964032067794978,0.5548426703902545,0.4512181910104245,,,,0.4512181910104245,0.1506089705122784,9563.214737699473,17711.44317648812,14332.96924615972,,,,-1501.0509108029862,-2749.8636103616577,-1858.855484531036,,,,14332.96924615972,4093.862700424656,-1858.855484531036,643.0983273517777,0.3213420576360851,0.5988862592231659,0.4838089934567728,,,,0.2017339423883658,,0.2731425375221404,,,,0.4838089934567728,0.1138561793403524,0.2731425375221404,0.1047939840758723,plate 0,P0_Buffer 1,A1,E7,I13,,,
9.0,0.0,0.7425,0.0,0.0,0.7425,0.99,8.2,42762.33333333333,40372.33333333333,42771.33333333333,,,,42762.33333333333,1382.4725434283798,0.0052001672415591,-0.1821626424166409,0.0059057175708159,,,,0.0052001672415591,0.0884904440996965,4204.203741304584,1214.7138302608282,2003.5421251475689,,,,-3917.165999064525,-9603.269231429467,-17018.25520336484,,,,2003.5421251475689,1549.3122966805372,-9603.269231429467,6569.529730406172,-1.671846747788695,-2.088859567674994,-1.978823567740152,,,,1.2238898777369285,,0.3518891315668794,,,,-1.978823567740152,0.1764597471312722,0.8454262107774939,0.3570245707519066,12.233334,0.0,36.700002,,,,12.233334,18.686726352225637,1.0967741935483872,1.1612903225806452,0.9677419354838708,,,,1.0967741935483872,0.0804657502532031,4802.666666666667,4405.0,4389.333333333333,,,,4405.0,234.246546280718,0.0743072441437754,0.067126898909406,0.0668440185858391,,,,0.067126898909406,0.0034534542239268,1868.664748301649,1309.5367133767463,1426.430439976543,,,,-405.6831230846101,-436.7457916915493,-335.6169532945218,,,,1426.430439976543,294.9179225414975,-405.6831230846101,51.80283049790828,0.059251009327579,0.0402060420437143,0.0441876653208965,,,,-0.0168733103383983,,-0.0308567166961871,,,,0.0441876653208965,0.0082020894047291,-0.0168733103383983,0.0084413607739231,plate 0,P0_Buffer 2,B1,F7,J13,,,
2.97,160.8,1.5075,1.005,7.65,1.125,1.5,6.4,45942.0,45099.33333333333,45132.33333333333,,,,45132.33333333333,477.2728468815014,0.2544684854186265,0.1884080694052468,0.1909950872791884,,,,0.1909950872791884,0.0305496744785503,10667.574350540906,4773.024263050454,1668.9761643999004,,,,-7776.293854152926,-9576.293756060288,-2109.8091493292045,,,,4773.024263050454,4570.842457875244,-7776.293854152926,3896.524967613662,-0.7702519995438945,-1.5925002850673595,-2.0254931665282085,,,,0.967028610957818,,1.3441864803314238,,,,-1.5925002850673595,0.5205985300843838,0.967028610957818,0.2117587119740979,12.233334,587.200032,581.083365,,,,581.083365,330.2056114990863,1.0967741935483872,-1.9354838709677415,-1.9032258064516128,,,,-1.9032258064516128,1.4218778488147064,39456.0,46935.66666666666,47735.66666666666,,,,46935.66666666666,4566.878831243418,0.7000144449526927,0.8350687338998964,0.8495136865926763,,,,0.8350687338998964,0.0673286639241181,26616.61980290901,37422.34128488605,33668.663015331724,,,,-1437.9913579919064,-4657.998967645055,-2928.9994511249824,,,,33668.663015331724,5486.119314039474,-2928.9994511249824,1611.4689710602124,0.902213559793958,1.2702770430182375,1.142419601837672,,,,0.1891488766663558,,0.4867157639601011,,,,1.142419601837672,0.1525768278543043,0.4867157639601011,0.2625916543547039,plate 0,P0_Buffer 3,C1,G7,K13,,,
4.5,160.8,0.0,0.255,14.85,0.3825,1.5,10.0,42412.66666666667,41726.0,41637.66666666667,,,,41726.0,424.2520651862709,-0.0222117696247513,-0.0760426465976795,-0.0829674924218664,,,,-0.0760426465976795,0.0271558765033017,2498.09250691594,6128.337540690054,7812.26115464517,,,,-4603.814463007388,-7694.900320246769,-9911.793932405157,,,,6128.337540690054,2715.838303955324,-7694.900320246769,2665.9605871055865,-1.909837267262868,-1.40344361367672,-1.1685481112251404,,,,1.178186962232914,,0.8248909892193976,,,,-1.40344361367672,0.3093218464683731,0.9724461164180732,0.1448830393212978,6.116667,587.200032,232.433346,,,,232.433346,292.89830936371493,1.1290322580645162,-1.9354838709677415,-0.064516129032258,,,,-0.064516129032258,1.2612311951600368,14126.666666666666,11194.0,9708.333333333334,,,,11194.0,2248.310798009128,0.2426631677781255,0.1897103786985097,0.1628848978019597,,,,0.1897103786985097,0.0331464371422588,5714.713585029235,6291.825270200261,4490.190490997795,,,,-1173.6083439839747,-1298.5596801096317,-999.1435812066552,,,,5714.713585029235,920.0002339319624,-1173.6083439839747,150.38882390479813,0.1902547682027008,0.2099122929138243,0.1485451761102603,,,,0.1363848233429663,,0.1015661415120723,,,,0.1902547682027008,0.0255865228740715,0.1363848233429663,0.0245061188113584,plate 0,P0_Buffer 4,D1,H7,L13,,,
9.0,40.8,0.3825,0.255,30.15,0.0,2.01,2.8,41309.33333333333,37791.0,39922.66666666667,,,,39922.66666666667,1772.263931936899,-0.108707013692903,-0.3845249294449671,-0.2174140273858049,,,,-0.2174140273858049,0.1134405331552215,2571.661985195533,4400.272239767182,11392.642430918677,,,,-1034.059889152051,-8713.662428994649,-6458.232423451718,,,,4400.272239767182,4655.583607831543,-6458.232423451718,3947.2544754067376,-1.8995748423984784,-1.644496571046933,-0.669110101158189,,,,1.415787714621047,,1.0547579999533645,,,,-1.644496571046933,0.5302501683789612,1.0547579999533645,0.2145156339285647,434.283357,0.0,103.983339,,,,103.983339,226.75709134357064,-1.1290322580645162,1.1612903225806452,0.6129032258064516,,,,0.6129032258064516,0.9764246094405584,17684.333333333332,17567.666666666668,8984.0,,,,17567.666666666668,4989.802011213583,0.3069010761489756,0.3047945205479452,0.1498061968847052,,,,0.3047945205479452,0.073563743439503,9213.350996547631,12347.410771258272,5290.462926950251,,,,-2328.2988221246264,-1551.4985530518495,-1217.2829231531296,,,,9213.350996547631,3535.814247462018,-1551.4985530518495,570.0109754890076,0.3094250313239593,0.4161770847835165,0.1758039816232771,,,,0.3668313601193252,,0.1451011466393213,,,,0.3094250313239593,0.0983360533882707,0.2118019949659737,0.0928842737539774,plate 0,P0_Buffer 5,E1,I7,M13,,,
0.0,0.0,1.5075,0.495,0.0,1.125,0.99,1.0,42026.0,37392.0,37980.0,,,,37980.0,2522.889084627648,-0.0525243022891188,-0.4158043273753528,-0.3697083725305738,,,,-0.3697083725305738,0.1614871677374063,1592.370485429402,1528.6102709204215,5507.084168551278,,,,-1484.9356917512655,-9138.146640972938,-9497.00220724784,,,,1592.370485429402,2278.789998365577,-9138.146640972938,4525.734286637444,-2.036179120037795,-2.0450732215869327,-1.490104090309341,,,,1.3857776879610129,,0.8524992810340671,,,,-2.036179120037795,0.2595439975132247,0.8763844952081892,0.2459534254857569,519.916695,0.0,0.0,,,,0.0,300.17404381443055,-1.5806451612903227,1.1612903225806452,1.1612903225806452,,,,1.1612903225806452,1.2925607828141192,15536.0,7653.333333333333,5664.0,,,,7653.333333333333,5220.955609989563,0.2681103594385728,0.1257794255723812,0.0898596432096685,,,,0.1257794255723812,0.0769715989009541,8160.490018501909,5982.833461425972,3995.640109229424,,,,-1359.7508017263094,-1187.855131841293,-760.2179422224552,,,,5982.833461425972,2083.1506693130723,-1187.855131841293,308.7235378390577,0.2735625783098983,0.1993874425727412,0.1316998468606432,,,,0.1735340729001586,,0.0538827258320126,,,,0.1993874425727412,0.057935400758233,0.1392281159690501,0.0503070341379636,plate 0,P0_Buffer 6,F1,J7,N13,,,
2.97,40.8,0.0,0.495,45.0,2.25,0.0,6.4,50196.0,55534.0,61105.0,,,,55534.0,5454.914695330564,0.587958607714017,1.0064283474443398,1.4431640012543117,,,,1.0064283474443398,0.3491626840694428,14614.985579564824,26729.42633627105,19667.57386007772,,,,-14082.015581361557,-7345.503686893536,-5802.179520317196,,,,19667.57386007772,6084.927876532845,-7345.503686893536,4402.993814539115,-0.2196158920979336,1.4702634022381873,0.4851846421997424,,,,0.5473235035792839,,1.0984244930318598,,,,0.4851846421997424,0.6930460932283024,0.9957017496133128,0.2392830295574197,42.816669,55.050003,85.633338,,,,55.050003,22.05395650343849,0.935483870967742,0.8709677419354839,0.7096774193548386,,,,0.8709677419354839,0.0949651706056758,5840.333333333333,3396.0,3057.333333333333,,,,3396.0,1518.472343923082,0.0930435515323687,0.0489082023256373,0.0427931723523605,,,,0.0489082023256373,0.0223865615664318,2044.4140575251204,944.141637921437,644.9590929177608,,,,-719.3460098449037,-460.8018433194792,-351.4986184469417,,,,944.141637921437,736.9513541769686,-460.8018433194792,188.902084146853,0.0652373660030627,0.0277599888625922,0.0175692607545593,,,,0.0457257387899692,,-0.0276871445884217,,,,0.0277599888625922,0.0204956716153633,-0.0058730306702712,0.0307819211402738,plate 0,P0_Buffer 7,G1,K7,O13,,,
1.53,79.2,0.7425,0.495,7.65,1.125,0.99,6.4,46045.0,43661.33333333333,51110.33333333333,,,,46045.0,3804.1001904864775,0.2625431169645656,0.0756768056862126,0.6596372948677742,,,,0.2625431169645656,0.2434959861272122,4778.045671885408,3047.1777241709306,7396.651990840298,,,,-10931.607033699893,-10782.015761198058,-13043.051060324196,,,,4778.045671885408,2189.7842094034,-10931.607033699893,1264.4401956511954,-1.591799833846457,-1.8332437407353144,-1.2265226669273022,,,,0.7570128325703225,,0.6164763673954777,,,,-1.591799833846457,0.2494066358934043,0.7570128325703225,0.0687166717587735,6.116667,12.233334,12.233334,,,,12.233334,3.5314593389933004,1.1290322580645162,1.0967741935483872,1.0967741935483872,,,,1.0967741935483872,0.0152065974448719,46915.0,32285.33333333333,31075.33333333333,,,,32285.33333333333,8816.52129894863,0.8346955726219997,0.5705395189830753,0.5486915280352457,,,,0.5705395189830753,0.1299803698437783,28953.6768962574,17341.96090779505,17301.90641406505,,,,-58.85558262367255,36.434408290844814,-293.4604744708198,,,,17341.96090779505,6715.619950643288,-58.85558262367255,169.77940163608037,0.9818181818181816,0.5863009884449394,0.5849366559933176,,,,-0.086091171809453,,-0.0392700661881232,,,,0.5863009884449394,0.1867709997706512,-0.086091171809453,0.0276658469704436,plate 0,P0_Buffer 8,H1,L7,P13,,,
6.03,240.0,0.7425,1.5,14.85,2.25,0.0,2.8,43778.0,43093.0,46644.0,,,,43778.0,1883.8250980385624,0.0848228284728755,0.0311226089683286,0.3095014111006585,,,,0.0848228284728755,0.1205814323937225,4709.33411471126,7803.035775622804,10823.70513222316,,,,-2874.931723436965,-2498.09250691594,-2356.675620889613,,,,7803.035775622804,3057.2582016250217,-2498.09250691594,267.8917438659176,-1.6013846128785314,-1.1698349867240088,-0.7484728534428003,,,,1.2932603744840934,,1.3277551940430758,,,,-1.1698349867240088,0.3482080470991051,1.318342569778559,0.0145587186277633,36.700002,18.350001,409.816689,,,,36.700002,220.90682518060464,0.9677419354838708,1.0645161290322582,-1.0000000000000002,,,,0.9677419354838708,0.9512331421331818,53608.0,77131.0,53995.66666666666,,,,53995.66666666666,13470.495306959385,0.9555456580879698,1.3802814358282978,0.9625454414136794,,,,0.9625454414136794,0.1985930621169437,24292.641727921444,39293.45834913035,27720.97941575045,,,,-4524.172583345989,-5374.308776799049,-4579.758411379455,,,,27720.97941575045,7860.240319358855,-4579.758411379455,475.5928957426784,0.8230544340804679,1.334010858972574,0.9398301545315328,,,,0.8050713153724255,,0.8161648177496038,,,,0.9398301545315328,0.2186045299873783,0.8161648177496038,0.0774986844520183,plate 0,P0_Buffer 9,A14,I1,M7,,,
6.03,40.8,1.5075,0.75,45.0,2.25,2.01,4.6,59077.33333333333,48912.33333333333,56119.66666666667,,,,56119.66666666667,5228.458518672735,1.2842061252221173,0.487326225567053,1.052341381833386,,,,1.052341381833386,0.3346674901237638,30245.22995938802,18655.117706610938,19273.568431958127,,,,-13531.879371559717,-17438.418668206075,-8334.60445043028,,,,19273.568431958127,6520.359652710132,-13531.879371559717,4567.131652613412,1.9606932838130628,0.3439541285898104,0.4302236557037903,,,,0.5839402442152385,,0.9298677879944346,,,,0.4302236557037903,0.7426398267072075,0.5839402442152385,0.2482031872532428,67.28333699999999,30.583335,55.050003,,,,55.050003,18.68672635222563,0.8064516129032259,1.0,0.8709677419354839,,,,0.8709677419354839,0.080465750253203,54522.333333333336,84578.33333333333,46554.333333333336,,,,54522.333333333336,20052.75016882555,0.9720550352697596,1.5147519079375016,0.8281833064496714,,,,0.9720550352697596,0.2956340482770291,18483.105259776286,31924.24894145783,18059.672040344853,,,,-832.6196510055466,-2926.4303582326797,-2233.9430468073065,,,,18483.105259776286,7885.3253136210915,-2233.9430468073065,1066.7153020531066,0.6251705415564527,1.083001531393568,0.6107475984964499,,,,0.0683322457350611,,0.3480003728908361,,,,0.6251705415564527,0.2193021795702958,0.3480003728908361,0.1738231023507164,plate 0,P0_Buffer 10,B14,J1,N7,,,
