Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,MG_fluo_1,MG_fluo_2,MG_fluo_3,MG_fluo_4,MG_fluo_5,MG_fluo_6,MG_fluo_median,MG_fluo_std,MG_yield_1,MG_yield_2,MG_yield_3,MG_yield_4,MG_yield_5,MG_yield_6,MG_yield_median,MG_yield_std,GFP_fluo_1,GFP_fluo_2,GFP_fluo_3,GFP_fluo_4,GFP_fluo_5,GFP_fluo_6,GFP_fluo_median,GFP_fluo_std,GFP_yield_1,GFP_yield_2,GFP_yield_3,GFP_yield_4,GFP_yield_5,GFP_yield_6,GFP_yield_median,GFP_yield_std,name_plate,Buffer,well_1,well_2,well_3,well_4,well_5,well_6
3.0,40.0,2.25,0.0,45.0,3.015,0.99,10.0,50932.6666666666,49983.6666666666,61852.0,48753.0,50654.0,47855.3333333333,50318.8333333333,5121.587886005101,3.573857936333157,3.4345347329271525,5.176931170324701,3.253859893807047,3.5329467322420465,3.1220729648388756,3.4837407325845993,0.6863904708728352,665.0,570.666666666666,434.333333333333,445.5,479.0,731.0,524.833333333333,122.99980803959734,-0.0053679535097741204,-0.006727963217263917,-0.008693489614307453,-0.008532499065894346,-0.008049527420655041,-0.004416427283332504,-0.007388745318959479,0.0016187904667666916,plate 5,P5_Buffer 1,A1,B20,E16,H12,K8,N4
2.01,53.6,1.5075,0.75,60.3,3.015,1.5,10.0,56686.0,44775.3333333333,46660.3333333333,46844.6666666666,51540.0,44950.3333333333,46752.49999999995,4665.087688429973,4.418507915535007,2.669896498568597,2.9466343683476475,2.9736964447380605,3.66302087156525,2.695588343243045,2.960165406542854,0.625210736669047,1129.66666666666,623.666666666666,516.666666666666,543.5,882.0,1102.5,752.833333333333,277.15452970018833,0.0013311755794157502,-0.005963858823303224,-0.007506484675261603,-0.007119626790268915,-0.002239450613746381,0.0009395120064108384,-0.004101654718524803,0.003647608217042381,plate 5,P5_Buffer 2,B1,C20,F16,I12,L8,O4
3.0,66.4,1.5075,0.495,45.0,3.735,1.5,10.0,60879.6666666666,52197.3333333333,53098.0,51755.0,53760.3333333333,52206.0,52652.0,3455.636975639549,5.03418238762876,3.75952433384717,3.8917516944383324,3.6945851378795713,3.988989209425237,3.760796691869148,3.82627419315374,0.46312127091602695,2741.0,2070.0,727.5,1287.0,3479.5,5206.0,2405.5,1618.2980154058976,0.02456187143102582,0.01488802146220272,-0.004466887007461983,0.003599460321236267,0.03520887322234603,0.0600999342822165,0.01972494644661427,0.02129828852158182,plate 5,P5_Buffer 3,C1,D20,G16,J12,M8,P4
1.5,26.4,1.5075,0.495,29.7,3.015,1.5,10.0,51661.0,59284.0,50916.6666666666,46697.6666666666,54738.0,45541.6666666666,51288.8333333333,5099.045404125525,3.680784947025868,4.7999217010448065,3.5715089676772074,2.9521152952115246,4.132520981673156,2.7824023098191732,3.626146957351538,0.68336934830375,3348.33333333333,5917.0,2980.66666666666,2663.0,1477.5,6712.0,3164.499999999995,2025.273698238779,0.03331783498949358,0.07035046681251937,0.028017161111892005,0.023437340436140274,0.00634591102028366,0.08181203272192976,0.03066749805069279,0.02665446237319989,plate 5,P5_Buffer 4,A5,D1,E20,H16,K12,N8
2.49,53.6,1.125,0.75,45.0,3.015,2.49,10.0,53494.6666666666,54462.0,47980.6666666666,46155.3333333333,52256.0,48078.6666666666,50167.3333333333,3428.713303634269,3.9499865423670704,4.092001272358027,3.1404732193104747,2.8724950451442415,3.76813721891899,3.1548606523281655,3.4614989356235775,0.45951298529901596,13354.3333333333,24323.3333333333,19353.3333333333,14702.5,14400.0,24168.5,17027.91666666665,4987.964959112414,0.17757497774365702,0.33571575316544633,0.2640629449015852,0.19701158290953186,0.1926504210383411,0.3334835110837189,0.23053726390555854,0.0656462010231599,plate 5,P5_Buffer 5,B5,E1,F20,I16,L12,O8
0.99,80.0,2.25,0.495,45.0,3.015,0.0,10.0,52783.6666666666,56308.3333333333,45036.0,46171.6666666666,54249.0,45398.0,49477.6666666666,5021.418775457635,3.8456042477183146,4.363062467885194,2.7081651129217796,2.874892950647185,4.060730627125699,2.7613105287626367,3.36024859918275,0.6729658993364445,779.666666666666,1056.66666666666,609.0,673.0,628.0,925.0,726.333333333333,179.63910322478972,-0.0037147968335321303,0.00027872990471517405,-0.006175309095845795,-0.005252616997478167,-0.005901384879142906,-0.0016195168601556306,-0.004483706915505149,0.002364215622720245,plate 5,P5_Buffer 6,C5,F1,G20,J16,M12,P8
3.0,0.0,2.25,0.0,60.3,3.015,0.99,10.0,48988.3333333333,56117.6666666666,52504.6666666666,51655.0,50969.3333333333,57049.3333333333,52079.8333333333,3108.1518439717725,3.288409307788299,4.335070591401791,3.804644106780195,3.679904083779887,3.579240989503046,4.471849078763856,3.742274095280041,0.4165516350032097,1451.66666666666,780.666666666666,1311.5,592.5,815.5,737.5,798.083333333333,347.0041092722831,0.00597347019932788,-0.003700379769495136,0.003952678390142625,-0.006413190652456199,-0.003198185372206495,-0.0043227163670920415,-0.0034492825708508155,0.004566892851068534,plate 5,P5_Buffer 7,A9,D5,G1,H20,K16,N12
0.0,0.0,1.125,0.495,45.0,3.735,0.99,10.0,49356.3333333333,47665.3333333333,49611.3333333333,52373.6666666666,45316.6666666666,49869.6666666666,49483.8333333333,2365.617051285632,3.3424355868751374,3.094178962049475,3.379872274829333,3.785411925909609,2.7493699380948837,3.4177983312535125,3.361153930852235,0.31703780895250583,2247.66666666666,2267.66666666666,1850.5,2385.5,2700.0,2766.5,2326.5833333333303,335.1625048086826,0.01744945317277526,0.017737794453515143,0.011723475906082494,0.019436605165874386,0.02397077180550906,0.024929506563969174,0.018587199809694765,0.004411046458115408,plate 5,P5_Buffer 8,B9,E5,H1,I20,L16,O12
0.99,26.4,1.5075,0.495,60.3,3.015,2.49,8.3,48818.3333333333,51697.6666666666,51775.3333333333,45837.0,45546.0,45998.0,47408.16666666665,2927.050479135483,3.263451515818836,3.6861680001957424,3.6975702855465022,2.8257603562602513,2.7830384888301696,2.849396853360743,3.0564241845897895,0.39228059761159034,1259.33333333333,1251.0,2127.5,1754.0,1756.5,1747.0,1750.5,338.0506810567958,0.003200588216212714,0.0030804460159044762,0.015717002644329885,0.010332229226512555,0.01036827188660504,0.010231309778253596,0.010281769502383076,0.004449057510744713,plate 5,P5_Buffer 9,C9,F5,I1,J20,M16,P12
2.01,80.0,1.5075,0.495,45.0,3.015,3.0,10.0,47775.6666666666,49183.3333333333,50954.0,47186.6666666666,42743.0,41251.3333333333,47481.1666666666,3762.959166518934,3.110377058406122,3.3170373632826835,3.5769898945410996,3.023905649758981,2.371528542416017,2.1525361520957205,3.067141354082551,0.5043083066562085,14893.3333333333,29575.0,21284.0,39308.5,26647.5,23144.5,24896.0,8292.75952021915,0.19976283929659108,0.411429367799728,0.29189748986900915,0.5517578606038109,0.3692234128314275,0.31872043750983686,0.3439719251706322,0.10914033337513677,plate 5,P5_Buffer 10,A13,D9,G5,J1,K20,N16
