Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
0.0,40.800000000000004,2.25,0.495,45.0,2.25,1.5,10.0,2.171786009078172,0.9996371223776527,1.0707169295016448,8.505850528775358
4.5,40.800000000000004,2.25,0.0,45.0,2.25,0.51,10.0,2.020842374410666,0.9983340994035517,0.9198937761780377,8.285529875396433
2.97,0.0,0.0,0.255,45.0,2.25,3.0,1.0,0.38635049410685873,0.033911548927813964,0.005229573884406383,8.212145674798018
0.0,0.0,0.0,0.0,45.0,2.25,1.5,1.0,0.3108990322273737,0.02235447644207201,0.0032768005886155936,8.181835685695038
0.0,0.0,2.25,1.5,45.0,1.125,3.0,1.0,0.3176473345718662,0.022869129973776374,0.0033493596198615055,8.158786154718541
1.53,0.0,0.0,1.0050000000000001,45.0,2.25,3.0,4.6000000000000005,0.7779166600240046,0.18972816175116552,0.03837990238313306,8.130170538086611
0.0,240.0,1.5075,1.5,45.0,2.25,0.0,10.0,1.1630986181921585,0.5711171379275815,0.17122230989113435,8.079987960897421
0.0,0.0,0.3825,0.0,14.850000000000001,2.25,0.0,10.0,0.7831657569659924,0.1905021865696752,0.03807615258001615,8.03951962871879
9.0,240.0,0.0,1.0050000000000001,45.0,2.25,3.0,1.0,0.04432775290034918,0.003962631342594427,0.0004880088494995539,8.002226628304605
2.97,40.800000000000004,0.0,0.0,22.5,2.25,3.0,10.0,1.046972015861833,0.43810381122410313,0.11323154209374679,7.994168903039697
0.0,40.800000000000004,1.125,0.0,30.150000000000002,2.25,1.5,10.0,1.4945668930286935,0.8872003805722344,0.4112492826806643,7.986655560709767
9.0,240.0,0.0,1.0050000000000001,45.0,2.25,1.5,10.0,0.7755027071306255,0.1830446686325386,0.03592685806278468,7.978367600233735
6.03,240.0,2.25,0.495,14.850000000000001,2.25,0.0,10.0,1.21079406948785,0.6272026112256359,0.1967647986652586,7.970644827873288
0.0,160.8,1.125,1.0050000000000001,45.0,2.25,0.0,10.0,1.396762584412798,0.8161031256410214,0.328597416404283,7.960592031128015
4.5,160.8,2.25,1.0050000000000001,22.5,2.25,0.99,10.0,1.6759662563224786,0.9667466792252073,0.5789606615087849,7.9395736895727556
2.97,79.2,2.25,1.0050000000000001,7.65,2.25,0.0,10.0,1.4766715480495307,0.8773983274878927,0.39516059923986013,7.938478835817213
9.0,0.0,0.7425,0.75,30.150000000000002,2.25,3.0,8.2,1.1089212517626805,0.5091745027168263,0.1396355754456449,7.909331761818994
4.5,0.0,0.3825,0.495,45.0,2.25,1.5,10.0,1.5064418215158462,0.8979393395834101,0.4208305037575574,7.8883144215370695
9.0,0.0,0.0,1.0050000000000001,7.65,2.25,0.99,10.0,0.7420935753727598,0.15648317106915927,0.029137857384143692,7.856031339669077
2.97,79.2,1.5075,0.0,45.0,2.25,0.99,8.2,1.6307484852780654,0.9559466765746886,0.5352538581622587,7.839932945575994
0.0,0.0,1.125,0.255,7.65,0.0,3.0,10.0,0.053960407964748214,0.003570182880063102,0.00042601879491678193,7.836722010287815
6.03,0.0,2.25,1.5,30.150000000000002,2.25,2.0100000000000002,6.4,1.3239486773734868,0.7535815717811852,0.2704045588597563,7.820889004484018
6.03,0.0,2.25,1.5,30.150000000000002,2.25,2.0100000000000002,6.4,1.3239486773734868,0.7535815717811852,0.2704045588597563,7.820889004484018
6.03,0.0,2.25,1.5,30.150000000000002,2.25,2.0100000000000002,6.4,1.3239486773734868,0.7535815717811852,0.2704045588597563,7.820889004484018
6.03,0.0,2.25,1.5,30.150000000000002,2.25,2.0100000000000002,6.4,1.3239486773734868,0.7535815717811852,0.2704045588597563,7.820889004484018
4.5,40.800000000000004,1.5075,1.0050000000000001,22.5,2.25,0.0,10.0,1.472350581932492,0.8788846077361476,0.3902082398475496,7.819633138803543
1.53,120.0,0.0,0.255,22.5,2.25,3.0,10.0,0.9911749510096861,0.3737237181004115,0.08822555993603262,7.816595255541673
1.53,40.800000000000004,2.25,0.255,0.0,0.3825,3.0,10.0,0.2129483980877751,0.009740280499964893,0.001251276373076149,7.8143085288609075
1.53,79.2,1.125,1.5,22.5,2.25,0.0,10.0,1.256325489452749,0.682058742314312,0.22280012577564817,7.8113966373343535
2.97,0.0,1.5075,0.75,7.65,2.25,3.0,10.0,1.286599028605579,0.7152045567387482,0.2433809077534888,7.808784236254868
9.0,240.0,0.3825,1.5,14.850000000000001,0.7425,0.51,10.0,0.07866452019858095,0.004062099174476293,0.0004866230436273945,7.802291606571409
6.03,79.2,1.125,1.5,22.5,2.25,3.0,10.0,1.160217987983902,0.5706423641136339,0.16414680221307643,7.800458741294316
0.0,120.0,2.25,0.0,14.850000000000001,2.25,1.5,8.2,1.2982750624717738,0.728093185080589,0.25133653920071597,7.792420947123243
0.0,240.0,0.7425,1.5,45.0,1.5075,3.0,1.0,-0.030869656217570096,0.0018755108800602323,0.00021273969733886806,7.778187001992205
0.0,0.0,1.5075,0.75,30.150000000000002,2.25,2.0100000000000002,6.4,1.302113880204864,0.7327922472315207,0.25372520133818877,7.77111373750137
9.0,79.2,2.25,1.5,7.65,2.25,3.0,4.6000000000000005,0.5299781183568157,0.056841583261723005,0.008757105438269151,7.748885785139884
