Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA
6.0,26.400000000000002,0.0,1.2449999999999999,30.0,6.75,0.0,10.0
5.04,26.400000000000002,0.0,0.75,36.0,6.75,0.99,10.0
5.04,26.400000000000002,0.0,0.495,42.0,6.75,0.99,10.0
6.0,80.0,1.125,1.0050000000000001,36.0,6.75,0.0,10.0
6.0,26.400000000000002,0.0,0.0,30.0,6.75,2.4899999999999998,9.0
5.04,0.0,1.8675,0.75,36.0,6.75,1.5,10.0
6.0,0.0,1.5075,1.5,42.0,6.75,0.0,9.0
6.0,66.39999999999999,1.125,0.0,36.0,6.75,1.5,10.0
5.04,0.0,0.7425,0.75,30.0,6.75,0.0,8.0
5.04,66.39999999999999,0.0,1.5,30.0,6.75,0.99,9.0
5.04,26.400000000000002,0.7425,1.2449999999999999,42.0,6.75,2.0100000000000002,10.0
6.0,26.400000000000002,1.5075,0.0,30.0,6.75,3.0,9.0
6.0,66.39999999999999,1.5075,0.0,30.0,6.75,0.0,9.0
4.08,40.0,0.0,1.5,36.0,6.75,0.99,9.0
6.0,0.0,2.25,1.0050000000000001,48.0,6.75,2.0100000000000002,10.0
6.0,0.0,1.8675,0.75,30.0,6.75,2.0100000000000002,8.0
3.12,0.0,0.0,0.0,48.0,6.75,1.5,10.0
5.04,0.0,1.5075,1.5,30.0,6.75,2.4899999999999998,9.0
3.12,40.0,0.7425,1.5,36.0,6.75,0.0,10.0
6.0,53.6,0.0,1.0050000000000001,48.0,6.75,2.0100000000000002,9.0
4.08,40.0,0.7425,1.5,30.0,6.75,2.4899999999999998,10.0
3.12,53.6,0.0,1.2449999999999999,30.0,6.75,2.0100000000000002,10.0
3.12,0.0,1.8675,0.0,30.0,6.75,3.0,10.0
6.0,80.0,2.25,1.5,42.0,6.75,1.5,10.0
6.0,80.0,1.8675,0.75,36.0,6.75,0.99,9.0
5.04,40.0,0.0,1.5,48.0,6.75,3.0,9.0
6.0,66.39999999999999,0.7425,0.0,30.0,6.21,0.0,9.0
3.12,66.39999999999999,0.0,0.0,36.0,6.75,2.0100000000000002,10.0
6.0,80.0,0.0,1.0050000000000001,48.0,6.75,0.99,8.0
6.0,0.0,1.125,1.0050000000000001,42.0,6.75,1.5,7.0
5.04,40.0,1.125,0.495,48.0,6.75,0.0,9.0
4.08,40.0,0.0,0.75,30.0,6.21,0.99,9.0
5.04,40.0,1.5075,0.495,48.0,6.75,2.0100000000000002,10.0
4.08,80.0,0.7425,0.75,36.0,6.21,0.0,10.0
4.08,0.0,1.125,1.5,30.0,6.75,3.0,8.0
5.04,0.0,0.0,1.5,48.0,6.75,3.0,7.0
2.16,0.0,0.7425,0.495,30.0,6.21,1.5,10.0
3.12,80.0,0.7425,1.0050000000000001,36.0,6.75,0.0,9.0
4.08,26.400000000000002,2.25,0.495,30.0,6.75,3.0,9.0
5.04,26.400000000000002,0.7425,0.75,36.0,6.21,2.4899999999999998,9.0
5.04,0.0,1.8675,0.495,30.0,6.21,3.0,9.0
2.16,0.0,1.125,1.5,36.0,6.75,2.4899999999999998,10.0
6.0,26.400000000000002,1.5075,0.75,48.0,6.75,0.0,8.0
5.04,40.0,0.7425,0.75,42.0,6.21,0.99,9.0
4.08,26.400000000000002,1.125,1.0050000000000001,54.0,6.75,0.99,10.0
3.12,66.39999999999999,0.7425,0.495,36.0,6.75,0.99,9.0
3.12,26.400000000000002,1.5075,1.0050000000000001,30.0,6.21,0.99,10.0
4.08,40.0,0.7425,1.2449999999999999,42.0,6.21,0.99,10.0
5.04,0.0,0.7425,0.495,42.0,6.21,1.5,8.0
3.12,53.6,0.7425,0.495,36.0,6.75,0.0,8.0
